TrafficType,session_cnt,purchase_cnt,avg_product_views,avg_exit_rate,conversion_rate
2,3913,847,38.12522361359571,0.026391409318170203,0.21645796064400716
1,2451,262,31.918400652794777,0.05570750921175031,0.10689514483884129
3,2052,180,25.805555555555557,0.057116744221247566,0.08771929824561403
4,1069,165,28.525724976613656,0.03615537329186155,0.15434985968194576
8,343,95,26.122448979591837,0.029638716204081636,0.27696793002915454
10,450,90,32.888888888888886,0.03791017549333334,0.2
5,260,56,17.884615384615383,0.029679210173076922,0.2153846153846154
6,444,53,29.60810810810811,0.0454118145990991,0.11936936936936937
20,198,50,20.146464646464647,0.04754842895959596,0.25252525252525254
11,247,47,25.210526315789473,0.043753124453441296,0.1902834008097166
13,738,43,32.947154471544714,0.07033266624525746,0.058265582655826556
7,40,12,29.175,0.024818012375,0.3
9,42,4,14.738095238095237,0.045366296785714286,0.09523809523809523
14,13,2,79.53846153846153,0.024005620692307692,0.15384615384615385
16,3,1,15.333333333333334,0.017997986333333334,0.3333333333333333
19,17,1,39.64705882352941,0.04976153835294118,0.058823529411764705
12,1,0,3.0,0.066666667,0.0
15,38,0,16.13157894736842,0.0897552152894737,0.0
17,1,0,4.0,0.075,0.0
18,10,0,13.9,0.0530553222,0.0
