session_id,Month,month_num,VisitorType,TrafficType,Weekend,is_weekend,ProductRelated,ProductRelated_Duration,product_duration_min,product_view_group,duration_group,BounceRates,ExitRates,PageValues,SpecialDay,Revenue,is_purchase,high_activity,session_segment
1,Feb,2,Returning_Visitor,1,False,0,1,0.0,0.0,0-5,0-2min,0.2,0.2,0.0,0.0,False,0,False,Low_Activity_NonPurchase
2,Feb,2,Returning_Visitor,2,False,0,2,64.0,1.0666666666666667,0-5,0-2min,0.0,0.1,0.0,0.0,False,0,False,Low_Activity_NonPurchase
3,Feb,2,Returning_Visitor,3,False,0,1,0.0,0.0,0-5,0-2min,0.2,0.2,0.0,0.0,False,0,False,Low_Activity_NonPurchase
4,Feb,2,Returning_Visitor,4,False,0,2,2.666666667,0.044444444449999995,0-5,0-2min,0.05,0.14,0.0,0.0,False,0,False,Low_Activity_NonPurchase
5,Feb,2,Returning_Visitor,4,True,1,10,627.5,10.458333333333334,6-10,10-20min,0.02,0.05,0.0,0.0,False,0,False,Low_Activity_NonPurchase
6,Feb,2,Returning_Visitor,3,False,0,19,154.2166667,2.5702777783333333,11-20,2-5min,0.015789474,0.024561404,0.0,0.0,False,0,False,Low_Activity_NonPurchase
7,Feb,2,Returning_Visitor,3,False,0,1,0.0,0.0,0-5,0-2min,0.2,0.2,0.0,0.4,False,0,False,Low_Activity_NonPurchase
8,Feb,2,Returning_Visitor,5,True,1,0,0.0,0.0,0-5,0-2min,0.2,0.2,0.0,0.0,False,0,False,Low_Activity_NonPurchase
9,Feb,2,Returning_Visitor,3,False,0,2,37.0,0.6166666666666667,0-5,0-2min,0.0,0.1,0.0,0.8,False,0,False,Low_Activity_NonPurchase
10,Feb,2,Returning_Visitor,2,False,0,3,738.0,12.3,0-5,10-20min,0.0,0.022222222,0.0,0.4,False,0,False,Low_Activity_NonPurchase
11,Feb,2,Returning_Visitor,3,False,0,3,395.0,6.583333333333333,0-5,5-10min,0.0,0.066666667,0.0,0.0,False,0,False,Low_Activity_NonPurchase
12,Feb,2,Returning_Visitor,3,False,0,16,407.75,6.795833333333333,11-20,5-10min,0.01875,0.025833333,0.0,0.4,False,0,False,Low_Activity_NonPurchase
13,Feb,2,Returning_Visitor,3,False,0,7,280.5,4.675,6-10,2-5min,0.0,0.028571429,0.0,0.0,False,0,False,Low_Activity_NonPurchase
14,Feb,2,Returning_Visitor,3,False,0,6,98.0,1.6333333333333333,6-10,0-2min,0.0,0.066666667,0.0,0.0,False,0,False,Low_Activity_NonPurchase
